"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Age",0.3,"m738-age-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,839,41,780,77,703
"Age",0.4,"m765-age-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,706,26,853,88,765
"Age",0.5,"m792-age-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,538,29,472,55,417
"HH",0,"m819-household_size-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,3502,145,0,0,0
"HH",0.1,"m846-household_size-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2502,93,939,83,856
"HH",0.2,"m873-household_size-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2090,90,1113,109,1004
"Random",0,"m9-random-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,5146,209,0,0,0
"Random",0.3,"m90-random-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1474,51,1476,161,1315
"HH",0.3,"m900-household_size-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,928,46,816,76,740
"HH",0.4,"m927-household_size-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,930,53,670,65,605
